Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
femininity,,,,,,,,F - 760 x 1000,,Canvas,,Scandi,GI-914375016-F-C-S,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,Silhouette,<p>Silhouette of woman with the stripes from shadows</p>,Getty Images,Open Edition Prints,,TRUE,size,C - 400 x 500,materials,Matt Photographic Paper,Frame,None,GI-1025055498-C-M-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Silhouette-thumb.jpg?v=1540707492,1,,FALSE,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,White,GI-1025055498-C-M-W,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Silhouette.jpg?v=1540347305,2,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Black,GI-1025055498-C-M-B,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Scandi,GI-1025055498-C-M-S,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Canvas,,None,GI-1025055498-C-C-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Canvas,,White,GI-1025055498-C-C-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Canvas,,Black,GI-1025055498-C-C-B,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,C - 400 x 500,,Canvas,,Scandi,GI-1025055498-C-C-S,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,None,GI-1025055498-D-M-N,1500,shopify,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,White,GI-1025055498-D-M-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,Black,GI-1025055498-D-M-B,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,Scandi,GI-1025055498-D-M-S,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Canvas,,None,GI-1025055498-D-C-N,1500,shopify,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Canvas,,White,GI-1025055498-D-C-W,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Canvas,,Black,GI-1025055498-D-C-B,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,D - 500 x 600,,Canvas,,Scandi,GI-1025055498-D-C-S,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,None,GI-1025055498-E-M-N,1500,shopify,0,continue,manual,162,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,White,GI-1025055498-E-M-W,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,Black,GI-1025055498-E-M-B,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,Scandi,GI-1025055498-E-M-S,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Canvas,,None,GI-1025055498-E-C-N,1500,shopify,0,continue,manual,162,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Canvas,,White,GI-1025055498-E-C-W,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Canvas,,Black,GI-1025055498-E-C-B,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,E - 600 x 760,,Canvas,,Scandi,GI-1025055498-E-C-S,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,None,GI-1025055498-F-M-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,White,GI-1025055498-F-M-W,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Black,GI-1025055498-F-M-B,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Scandi,GI-1025055498-F-M-S,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Canvas,,None,GI-1025055498-F-C-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Canvas,,White,GI-1025055498-F-C-W,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Canvas,,Black,GI-1025055498-F-C-B,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
silhouette,,,,,,,,F - 760 x 1000,,Canvas,,Scandi,GI-1025055498-F-C-S,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,Orange Charm,<p>Soft details and colors of the body feathers of a Flamingo in Florida</p>,Getty Images,Open Edition Prints,,TRUE,size,C - 400 x 500,materials,Matt Photographic Paper,Frame,None,GI-934307126-C-M-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Orange-charm-thumbnail.jpg?v=1540707489,1,,FALSE,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,White,GI-934307126-C-M-W,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Orange-Charm.jpg?v=1540347512,2,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Black,GI-934307126-C-M-B,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Scandi,GI-934307126-C-M-S,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Canvas,,None,GI-934307126-C-C-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Canvas,,White,GI-934307126-C-C-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Canvas,,Black,GI-934307126-C-C-B,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,C - 400 x 500,,Canvas,,Scandi,GI-934307126-C-C-S,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,None,GI-934307126-D-M-N,1500,shopify,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,White,GI-934307126-D-M-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,Black,GI-934307126-D-M-B,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,Scandi,GI-934307126-D-M-S,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Canvas,,None,GI-934307126-D-C-N,1500,shopify,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Canvas,,White,GI-934307126-D-C-W,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Canvas,,Black,GI-934307126-D-C-B,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,D - 500 x 600,,Canvas,,Scandi,GI-934307126-D-C-S,4600,shopify,0,continue,manual,555,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
